Age_kyr,IBR_Full_dataset,IBR_20kyr_ensemble_mean,IBR_20kyr_empirical_lower_95,IBR_20kyr_empirical_upper_95,IBR_50kyr_ensemble_mean,IBR_50kyr_empirical_lower_95,IBR_50kyr_empirical_upper_95,IBR_100kyr_ensemble_mean,IBR_100kyr_empirical_lower_95,IBR_100kyr_empirical_upper_95
1150.0,0.0003991790749066526,0.000402083880392157,0.0002901580252100848,0.0005149341274509806,0.0003876222499999998,0.00016762874999999992,0.0005759399999999986,0.00040179985185185207,8.77619191919188e-05,0.000724196666666667
1160.0,0.00038665281883636473,0.00038765850000000004,0.0002727249999999999,0.0005044839999999999,0.0003735209020467835,0.00013542388157894718,0.000563955,0.0003869450976430977,5.1642500000000216e-05,0.0006969484848484848
1170.0,0.00037275585644640154,0.0003739019247165534,0.00025694284713885534,0.0004840712809123652,0.0003592040557644109,0.00012823680137844542,0.0005499210526315791,0.00037038319023569016,4.829772727272767e-05,0.0006905578282828286
1180.0,0.0003610968646964219,0.0003631572999999999,0.00024409816666666622,0.00047267150000000047,0.0003491037368421051,0.00012381842105263114,0.0005472538847117808,0.00036001277104377103,4.682424242424097e-05,0.0006488427525252532
1190.0,0.00036517335443374765,0.0003646107479391756,0.0002524831666666666,0.0004686701260504197,0.00035314551190476177,0.00013514085213032492,0.0005542936466165419,0.0003646123569023569,4.682424242424097e-05,0.0006651252525252542
1200.0,0.0003930879376880867,0.0003822613666666664,0.0002753856666666661,0.0004897559999999998,0.00036781849999999985,0.00016488625000000027,0.0005635375000000006,0.0003887038333333333,5.788749999999899e-05,0.0007188125000000007
1210.0,0.0004075547331783813,0.0003949915606109109,0.0002860838735494194,0.0005017840000000008,0.00038051658124477845,0.00017819975877192854,0.0005689762499999998,0.000400875,9.553249999999966e-05,0.0007100352272727273
1220.0,0.000412029513048048,0.00040030296666666626,0.0002942699999999994,0.000503417,0.0003876458813700919,0.00018230648496240647,0.0005728983928571425,0.0004029113181818183,7.767297979798008e-05,0.000718627146464647
1230.0,0.00041335254504641216,0.00040086113705482167,0.00029579100000000076,0.0005060133573429372,0.00039095455409356703,0.00017834309210526192,0.0005795674999999995,0.00040539867508417526,6.480984848484797e-05,0.0007237648989898992
1240.0,0.00040311741667740453,0.0003911304666666664,0.00027875266666666735,0.000487075,0.00038211882059314956,0.00017275386904762026,0.0005523323684210522,0.0003954618905723906,6.043409090909122e-05,0.000718627146464647
