Age_kyr,IQR_Full_dataset,IQR_20kyr_ensemble_mean,IQR_20kyr_empirical_lower_95,IQR_20kyr_empirical_upper_95,IQR_50kyr_ensemble_mean,IQR_50kyr_empirical_lower_95,IQR_50kyr_empirical_upper_95,IQR_100kyr_ensemble_mean,IQR_100kyr_empirical_lower_95,IQR_100kyr_empirical_upper_95
670,0.6542499999999993,0.6470124999999999,0.5199624999999996,0.8050624999999997,0.6242833333333336,0.37081875000000075,0.8547562500000001,0.5712512499999997,0.19981250000000017,0.9115249999999999
680,0.6699999999999999,0.6506666666666664,0.5148687500000005,0.8175312500000007,0.6247816666666672,0.3445125000000006,0.8712250000000005,0.5752179166666664,0.21000000000000082,0.9193250000000008
690,0.6716666666666677,0.647612916666667,0.5095062500000004,0.8065937500000004,0.6240762500000004,0.3445125000000006,0.8805000000000001,0.5758483333333332,0.2383249999999996,0.9233187500000003
700,0.6699999999999999,0.6535054166666672,0.5204250000000001,0.8025937500000002,0.6280550000000001,0.3703312500000007,0.8620937499999998,0.5825337499999996,0.24533124999999983,0.9269750000000003
710,0.6509999999999998,0.6452362500000001,0.5183187500000004,0.8088812500000003,0.6199637500000001,0.3703312500000007,0.8600062499999996,0.5780637499999994,0.24623124999999985,0.9269750000000003
720,0.6500000000000004,0.6390579166666669,0.5124687500000001,0.8013312500000005,0.6147087500000001,0.3445124999999998,0.8526812500000001,0.5686429166666664,0.24473749999999986,0.92234375
730,0.6539999999999999,0.6389487500000004,0.5106000000000002,0.8013312500000005,0.6163699999999998,0.3813187500000006,0.8664125000000006,0.5641516666666664,0.24744999999999961,0.9193250000000008
740,0.6699999999999999,0.6486116666666674,0.5147562499999997,0.81269375,0.6246870833333334,0.3813187500000006,0.8828124999999994,0.5740012499999997,0.254812499999999,0.92234375
750,0.6699999999999999,0.6533891666666672,0.5107250000000001,0.8125375,0.6267141666666669,0.38154375000000057,0.8949999999999996,0.5793499999999997,0.254812499999999,0.9234437500000002
760,0.6600000000000001,0.6464145833333335,0.5032000000000004,0.7954375,0.6240179166666667,0.3764250000000004,0.8949999999999996,0.5734291666666664,0.24508124999999986,0.9241687500000004
770,0.6600000000000001,0.6336620833333333,0.48341250000000024,0.7903750000000002,0.6120545833333333,0.34699375000000016,0.8951249999999996,0.55954125,0.22231250000000102,0.9931500000000003
780,0.6600000000000001,0.632990416666667,0.47306250000000016,0.7793187499999997,0.6139862500000003,0.3747812500000009,0.8852500000000003,0.5602412499999998,0.22231250000000102,0.9931500000000003
790,0.6545000000000005,0.6433720833333334,0.47316875000000014,0.79511875,0.6215087500000003,0.3774375000000004,0.8901249999999997,0.56662,0.22231250000000102,0.9402562499999997
800,0.6532499999999999,0.6408591666666671,0.4655999999999999,0.79511875,0.6181416666666668,0.3774375000000004,0.8887812500000004,0.5668962499999999,0.22231250000000102,0.9287562499999997
810,0.6500000000000004,0.6438687499999999,0.4782749999999998,0.7937812500000002,0.6198475000000001,0.3774375000000004,0.8887812500000004,0.5662125,0.222425000000001,0.9392312499999994
820,0.6600000000000001,0.648265416666667,0.4784312499999998,0.7999437499999995,0.6210962499999999,0.374875,0.8887812500000004,0.5715920833333331,0.24882500000000032,0.9287562499999997
830,0.6500000000000004,0.6336445833333332,0.4787312499999998,0.7899999999999996,0.6104841666666672,0.3697625000000001,0.8828312500000002,0.5627108333333333,0.24425000000000013,0.9287562499999997
840,0.6400000000000006,0.6285945833333334,0.4659937499999993,0.7775312499999999,0.606219166666667,0.3699125000000001,0.86025,0.5577824999999997,0.24425000000000013,0.90924375
850,0.6477500000000003,0.6258483333333338,0.46291875000000005,0.7701250000000005,0.6023204166666667,0.36649375000000023,0.8675624999999998,0.5566641666666664,0.24425000000000013,0.90924375
860,0.6399999999999997,0.6165325000000003,0.45968124999999965,0.7670749999999995,0.5934329166666664,0.36027500000000007,0.8514687499999999,0.5585866666666667,0.24425000000000013,0.9290437499999998
