Age_kyr,TS_Full_dataset,TS_20kyr_ensemble_mean,TS_20kyr_empirical_lower_95,TS_20kyr_empirical_upper_95,TS_50kyr_ensemble_mean,TS_50kyr_empirical_lower_95,TS_50kyr_empirical_upper_95,TS_100kyr_ensemble_mean,TS_100kyr_empirical_lower_95,TS_100kyr_empirical_upper_95
770,0.0005266233745523334,0.0003888159609250795,0.00011460223306703995,0.0006752939667832725,0.00039671790103682506,1.4435185212405476e-05,0.0010260736261236815,0.0005566634309761452,1.5150974293105819e-05,0.0013471739359105692
780,0.0005270348243334706,0.0003958164147203471,0.00010114591735278387,0.0006581055408297939,0.00040447408595954145,1.4761087304118204e-05,0.0010171811662137843,0.0005537423243031268,1.5150974293105819e-05,0.0013592360107407807
790,0.0005478459120159478,0.00042813861684624455,0.00014853424094721517,0.0007023992927848185,0.00042022812433538024,1.4440763880529493e-05,0.0009718989707105672,0.0005531657332777192,3.3688910229173034e-05,0.0013549454538759166
800,0.0005479999697492655,0.00042707587359743643,0.00012135031620698161,0.0007123427224881418,0.00041823852177271767,1.2607859765340129e-05,0.0010076520574358438,0.0005574113490577283,1.5014960475660308e-05,0.0013574802937120387
810,0.000546749002865241,0.0004289077172725784,0.00011724095599148803,0.0007264091173152,0.0004316011165656829,1.4440763880529493e-05,0.0010097687314245705,0.0005479772662891513,2.4483440488205728e-05,0.0013948139540654416
820,0.0005703611812180068,0.00046151069502053786,0.0001710908208619528,0.0007489731863849955,0.00045704676470306467,1.66020922593915e-05,0.0010382653027407982,0.0005682797554973164,2.5479578859428298e-05,0.0013947987819070973
830,0.0005689481951853107,0.0004822449283341196,0.00019010968510160215,0.0007621493347898811,0.00048227859802084453,3.087820371690702e-05,0.0009901997209574563,0.0005629546684787689,2.4483440488205728e-05,0.0013947987819070973
840,0.0005826023451795863,0.0005110879065259815,0.0002464989310405948,0.0007781690596620693,0.0005093458477699841,5.1605710977594464e-05,0.0010970576053474868,0.0005548802623755234,2.129863182307485e-05,0.0013574802937120387
850,0.0005809281295082448,0.0005098322499491217,0.00024162511854355708,0.0007902157846504451,0.0004990140989655866,4.068615558127578e-05,0.0010450489113884719,0.0005600964473534163,2.1314327241895826e-05,0.0013574802937120387
860,0.0005850390879553503,0.0005076998068178194,0.00021699844053663168,0.0007683221381143472,0.0005097419606638275,4.810397731796743e-05,0.0010576965313894614,0.0005781980122258913,1.4067303256114916e-05,0.0013947987819070973
